Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,321.670013,324.000000,317.440002,321.299988,321.299988,909800
2021-09-21,323.359985,323.609985,317.700012,317.899994,317.899994,933900
2021-09-22,319.000000,321.920013,314.029999,320.519989,320.519989,840600
2021-09-23,322.459991,324.790009,320.470001,322.880005,322.880005,441600
2021-09-24,320.589996,322.589996,318.190002,321.940002,321.940002,370100
2021-09-27,318.070007,318.950012,312.380005,313.399994,313.399994,610600
2021-09-28,307.359985,308.959991,299.640015,301.929993,301.929993,1005900
2021-09-29,303.220001,305.589996,301.149994,302.619995,302.619995,682000
2021-09-30,305.000000,306.730011,298.309998,299.410004,299.410004,721200
2021-10-01,299.410004,303.950012,295.850006,302.489990,302.489990,623400
2021-10-04,299.450012,300.350006,287.019989,289.250000,289.250000,893900
2021-10-05,291.309998,295.339996,289.359985,293.350006,293.350006,714500
2021-10-06,290.000000,294.829987,288.820007,294.570007,294.570007,707700
2021-10-07,298.239990,302.100006,297.299988,298.369995,298.369995,760500
2021-10-08,299.149994,299.290009,291.010010,291.660004,291.660004,635000
2021-10-11,290.630005,293.760010,288.529999,288.739990,288.739990,356400
2021-10-12,291.350006,295.000000,290.459991,292.040009,292.040009,576400
2021-10-13,295.799988,299.480011,295.390015,296.299988,296.299988,616200
2021-10-14,301.130005,306.230011,300.540009,304.829987,304.829987,598900
2021-10-15,305.630005,306.660004,304.140015,306.260010,306.260010,418500
2021-10-18,305.200012,307.459991,303.899994,307.220001,307.220001,420200
2021-10-19,308.309998,312.019989,307.250000,311.000000,311.000000,513400
2021-10-20,314.000000,316.440002,312.679993,315.500000,315.500000,562800
2021-10-21,315.700012,322.209991,314.209991,321.010010,321.010010,625500
2021-10-22,322.589996,326.940002,320.500000,321.119995,321.119995,520200
2021-10-25,321.500000,325.420013,321.130005,324.000000,324.000000,427900
2021-10-26,326.000000,332.399994,325.549988,328.029999,328.029999,665500
2021-10-27,327.470001,328.559998,318.859985,319.130005,319.130005,822500
2021-10-28,320.549988,327.079987,320.549988,326.779999,326.779999,554100
2021-10-29,325.630005,333.640015,325.390015,333.179993,333.179993,578500
2021-11-01,333.450012,335.730011,329.299988,329.839996,329.839996,547700
2021-11-02,330.910004,334.600006,329.829987,333.190002,333.190002,532300
2021-11-03,333.299988,334.040009,328.269989,333.410004,333.410004,460600
2021-11-04,333.839996,341.850006,331.380005,341.720001,341.720001,634200
2021-11-05,343.369995,345.119995,340.510010,340.750000,340.750000,515700
2021-11-08,341.739990,344.119995,338.609985,342.910004,342.910004,370400
2021-11-09,343.480011,348.390015,341.910004,348.260010,348.260010,703600
2021-11-10,347.029999,348.850006,337.019989,337.660004,337.660004,562100
2021-11-11,341.179993,344.019989,339.309998,340.359985,340.359985,391800
2021-11-12,341.209991,347.089996,340.339996,347.010010,347.010010,803100
2021-11-15,349.359985,349.359985,343.320007,345.750000,345.750000,459100
2021-11-16,344.929993,354.630005,344.480011,353.459991,353.459991,433700
2021-11-17,355.000000,356.040009,350.670013,353.920013,353.920013,348400
2021-11-18,355.000000,355.010010,350.220001,352.089996,352.089996,401500
2021-11-19,355.250000,359.640015,354.950012,357.950012,357.950012,572000
2021-11-22,360.000000,361.220001,347.540009,347.970001,347.970001,632700
2021-11-23,346.769989,351.869995,339.000000,344.660004,344.660004,621100
2021-11-24,341.230011,349.649994,337.019989,349.209991,349.209991,753700
2021-11-26,348.589996,353.869995,340.119995,342.160004,342.160004,413700
2021-11-29,349.750000,357.579987,346.579987,355.869995,355.869995,740600
2021-11-30,355.989990,355.989990,340.510010,341.000000,341.000000,1321500
2021-12-01,344.739990,348.500000,334.100006,334.750000,334.750000,1167400
2021-12-02,354.799988,365.380005,345.100006,349.670013,349.670013,1590500
2021-12-03,350.200012,352.130005,339.100006,344.559998,344.559998,1098800
2021-12-06,343.779999,346.470001,334.109985,345.450012,345.450012,935000
2021-12-07,352.160004,359.640015,352.010010,356.200012,356.200012,1223200
2021-12-08,357.440002,365.160004,353.200012,364.359985,364.359985,624800
2021-12-09,361.549988,364.609985,354.260010,354.480011,354.480011,538100
2021-12-10,358.679993,362.779999,355.760010,362.339996,362.339996,882300
2021-12-13,362.589996,365.179993,360.570007,362.230011,362.230011,743500
2021-12-14,354.970001,357.880005,341.929993,345.929993,345.929993,940300
2021-12-15,347.019989,362.000000,345.869995,361.299988,361.299988,1248000
2021-12-16,363.079987,365.839996,351.799988,352.920013,352.920013,890900
2021-12-17,346.720001,355.000000,342.200012,348.040009,348.040009,2166100
2021-12-20,341.980011,346.929993,340.000000,346.109985,346.109985,731500
2021-12-21,349.570007,359.750000,344.570007,359.070007,359.070007,810200
2021-12-22,359.070007,365.329987,358.040009,364.829987,364.829987,474600
2021-12-23,364.369995,368.890015,363.750000,366.149994,366.149994,407900
2021-12-27,368.369995,375.720001,368.359985,375.589996,375.589996,893900
2021-12-28,376.920013,377.600006,369.980011,372.149994,372.149994,471800
2021-12-29,372.049988,374.480011,368.369995,373.440002,373.440002,530900
2021-12-30,374.160004,375.000000,370.190002,370.809998,370.809998,386900
2021-12-31,370.480011,370.480011,367.029999,368.500000,368.500000,654700
2022-01-03,367.130005,371.730011,358.640015,361.100006,361.100006,674800
2022-01-04,360.100006,361.459991,345.410004,352.989990,352.989990,895200
2022-01-05,349.950012,354.869995,339.279999,339.769989,339.769989,968400
2022-01-06,336.500000,348.429993,335.200012,344.970001,344.970001,977100
2022-01-07,341.670013,345.059998,330.109985,330.359985,330.359985,902200
2022-01-10,322.769989,330.149994,318.769989,329.630005,329.630005,986900
2022-01-11,326.540009,342.329987,326.540009,340.380005,340.380005,1068500
2022-01-12,343.929993,346.790009,335.890015,338.589996,338.589996,781500
2022-01-13,340.420013,342.869995,326.450012,327.510010,327.510010,803300
2022-01-14,324.570007,330.290009,321.920013,326.160004,326.160004,651300
2022-01-18,318.220001,320.399994,312.010010,313.480011,313.480011,878000
2022-01-19,314.609985,319.989990,311.519989,312.140015,312.140015,770300
2022-01-20,314.940002,322.690002,309.480011,309.959991,309.959991,657000
2022-01-21,309.250000,314.950012,303.000000,303.309998,303.309998,1152700
2022-01-24,299.970001,308.760010,287.309998,308.339996,308.339996,1374800
2022-01-25,297.720001,303.500000,290.350006,291.660004,291.660004,913800
2022-01-26,298.920013,303.869995,282.859985,288.559998,288.559998,1225200
2022-01-27,293.459991,294.869995,282.339996,285.359985,285.359985,984100
2022-01-28,286.410004,296.869995,279.429993,296.350006,296.350006,1108000
2022-01-31,296.359985,310.839996,295.989990,310.500000,310.500000,925700
2022-02-01,311.839996,313.239990,305.820007,311.820007,311.820007,822100
2022-02-02,314.910004,316.329987,310.019989,315.630005,315.630005,690600
2022-02-03,308.649994,312.500000,301.630005,303.510010,303.510010,868200
2022-02-04,302.079987,311.970001,300.140015,308.890015,308.890015,771500
2022-02-07,309.519989,313.540009,303.829987,305.140015,305.140015,829800
2022-02-08,302.980011,310.940002,302.250000,309.109985,309.109985,607600
2022-02-09,314.070007,324.519989,312.679993,324.179993,324.179993,832400
2022-02-10,314.019989,321.820007,308.279999,311.149994,311.149994,878700
2022-02-11,311.910004,314.739990,293.170013,295.290009,295.290009,963800
2022-02-14,293.700012,300.160004,290.869995,294.959991,294.959991,826600
2022-02-15,299.989990,306.410004,298.769989,306.149994,306.149994,819500
2022-02-16,302.660004,308.119995,297.869995,306.790009,306.790009,995500
2022-02-17,318.589996,319.630005,292.359985,293.309998,293.309998,1302600
2022-02-18,293.410004,294.440002,285.059998,287.630005,287.630005,1077000
2022-02-22,287.149994,294.429993,283.989990,289.470001,289.470001,1321100
2022-02-23,294.200012,298.250000,285.130005,285.529999,285.529999,1147900
2022-02-24,279.529999,309.459991,275.000000,307.799988,307.799988,1498300
2022-02-25,306.089996,312.179993,301.059998,311.149994,311.149994,1040600
2022-02-28,307.700012,316.010010,304.299988,312.390015,312.390015,1083500
2022-03-01,311.980011,314.489990,305.220001,307.709991,307.709991,881800
2022-03-02,310.540009,317.529999,306.980011,315.320007,315.320007,621400
2022-03-03,317.230011,318.609985,306.570007,308.839996,308.839996,704900
2022-03-04,306.799988,311.769989,302.829987,309.059998,309.059998,878400
2022-03-07,309.720001,311.070007,295.380005,295.459991,295.459991,933500
2022-03-08,292.220001,305.790009,289.339996,296.350006,296.350006,911100
2022-03-09,303.720001,309.709991,302.200012,307.790009,307.790009,809800
2022-03-10,300.440002,303.839996,291.519989,300.839996,300.839996,941800
2022-03-11,305.000000,305.920013,293.149994,293.690002,293.690002,953200
2022-03-14,292.070007,296.029999,277.160004,278.980011,278.980011,1192000
2022-03-15,281.390015,287.140015,278.279999,285.500000,285.500000,2278200
2022-03-16,291.559998,300.220001,285.489990,300.079987,300.079987,1360200
2022-03-17,300.500000,304.760010,297.209991,304.049988,304.049988,1175200
2022-03-18,301.890015,320.630005,301.880005,318.209991,318.209991,2386300
2022-03-21,315.359985,317.010010,307.190002,314.309998,314.309998,835300
2022-03-22,313.859985,325.739990,311.290009,325.220001,325.220001,1064700
2022-03-23,321.989990,324.109985,316.269989,316.440002,316.440002,846700
2022-03-24,318.220001,325.570007,315.359985,325.559998,325.559998,696500
2022-03-25,324.850006,326.000000,314.790009,318.910004,318.910004,719200
2022-03-28,318.279999,332.859985,318.000000,332.380005,332.380005,974700
2022-03-29,336.609985,342.589996,333.959991,341.000000,341.000000,981500
2022-03-30,337.320007,339.670013,330.750000,332.589996,332.589996,706800
2022-03-31,334.149994,340.089996,331.079987,333.269989,333.269989,1089800
2022-04-01,333.739990,338.100006,330.220001,334.980011,334.980011,862600
2022-04-04,336.970001,341.160004,336.000000,340.149994,340.149994,654400
2022-04-05,339.269989,340.149994,325.600006,327.709991,327.709991,813900
2022-04-06,323.299988,329.609985,318.500000,324.850006,324.850006,931300
2022-04-07,322.489990,329.929993,321.899994,326.369995,326.369995,782600
2022-04-08,324.290009,325.350006,317.049988,319.829987,319.829987,783100
2022-04-11,316.019989,317.380005,307.519989,309.769989,309.769989,978300
2022-04-12,316.420013,320.769989,309.350006,310.829987,310.829987,775900
2022-04-13,311.230011,322.079987,296.640015,306.720001,306.720001,2916700
2022-04-14,306.309998,306.309998,293.179993,294.769989,294.769989,1486400
2022-04-18,293.109985,300.000000,292.179993,297.119995,297.119995,757600
2022-04-19,294.739990,307.190002,294.739990,306.329987,306.329987,679600
2022-04-20,308.100006,310.369995,304.269989,306.260010,306.260010,775200
2022-04-21,308.820007,312.579987,293.850006,295.500000,295.500000,665800
2022-04-22,294.970001,297.809998,284.540009,285.000000,285.000000,1062000
2022-04-25,286.070007,291.480011,284.299988,290.920013,290.920013,829900
2022-04-26,290.920013,292.940002,281.299988,282.899994,282.899994,1022200
2022-04-27,283.000000,293.829987,283.000000,287.029999,287.029999,1005400
2022-04-28,291.950012,305.059998,290.709991,301.859985,301.859985,724100
2022-04-29,298.549988,302.369995,285.540009,286.790009,286.790009,763100
2022-05-02,286.549988,291.230011,280.899994,290.709991,290.709991,1028900
2022-05-03,290.450012,294.700012,287.700012,292.209991,292.209991,705300
2022-05-04,293.380005,299.940002,282.839996,299.190002,299.190002,1064200
2022-05-05,293.230011,294.859985,278.369995,282.339996,282.339996,1145800
2022-05-06,279.839996,280.500000,268.709991,274.709991,274.709991,1119500
2022-05-09,269.239990,271.290009,260.410004,262.410004,262.410004,1209400
2022-05-10,270.929993,275.100006,260.700012,270.510010,270.510010,1068000
2022-05-11,266.869995,272.799988,259.890015,260.829987,260.829987,817100
2022-05-12,257.940002,264.899994,255.020004,262.059998,262.059998,855500
2022-05-13,267.380005,277.549988,266.769989,275.989990,275.989990,917700
2022-05-16,273.420013,276.959991,270.000000,273.730011,273.730011,818000
2022-05-17,279.839996,284.500000,276.029999,282.809998,282.809998,800000
2022-05-18,277.630005,281.619995,270.739990,272.570007,272.570007,1262500
2022-05-19,289.000000,307.000000,287.260010,300.519989,300.519989,2361500
2022-05-20,303.859985,308.109985,293.329987,306.720001,306.720001,1833300
2022-05-23,311.239990,311.239990,301.589996,306.980011,306.980011,1022300
2022-05-24,302.299988,303.480011,294.250000,296.369995,296.369995,1181100
2022-05-25,295.769989,302.779999,292.519989,299.170013,299.170013,967700
2022-05-26,299.720001,308.839996,297.019989,306.100006,306.100006,859500
2022-05-27,311.440002,323.480011,309.239990,322.959991,322.959991,1162600
2022-05-31,323.670013,324.500000,314.380005,319.200012,319.200012,1219300
2022-06-01,321.989990,324.660004,313.089996,316.859985,316.859985,781600
2022-06-02,316.450012,331.220001,315.529999,330.809998,330.809998,729400
2022-06-03,325.489990,328.760010,323.320007,327.679993,327.679993,742200
2022-06-06,332.130005,335.290009,327.220001,328.790009,328.790009,503800
2022-06-07,323.089996,330.709991,323.010010,329.529999,329.529999,872900
2022-06-08,327.600006,328.190002,321.250000,322.890015,322.890015,688500
2022-06-09,321.679993,325.290009,317.070007,317.079987,317.079987,565000
2022-06-10,310.049988,310.970001,303.929993,305.390015,305.390015,711900
2022-06-13,293.600006,296.940002,288.670013,290.250000,290.250000,1202500
2022-06-14,291.959991,298.350006,288.980011,295.160004,295.160004,815300
2022-06-15,297.799988,309.089996,296.809998,303.239990,303.239990,903300
2022-06-16,294.809998,297.630005,286.309998,289.489990,289.489990,1094100
2022-06-17,289.369995,301.390015,289.369995,296.179993,296.179993,1823000
2022-06-21,299.899994,306.260010,299.559998,302.220001,302.220001,904000
2022-06-22,297.700012,305.149994,297.190002,301.239990,301.239990,814200
2022-06-23,305.070007,309.929993,301.630005,309.250000,309.250000,815600
2022-06-24,313.260010,318.579987,311.100006,317.470001,317.470001,1946200
2022-06-27,313.790009,317.209991,310.230011,311.859985,311.859985,750300
2022-06-28,312.019989,314.130005,302.239990,303.670013,303.670013,795100
2022-06-29,304.420013,309.540009,303.399994,306.059998,306.059998,855800
2022-06-30,301.230011,307.929993,300.399994,303.700012,303.700012,1039700
2022-07-01,302.250000,304.130005,295.450012,301.230011,301.230011,916500
2022-07-05,298.230011,303.769989,296.309998,302.910004,302.910004,891200
2022-07-06,304.410004,310.739990,299.859985,309.630005,309.630005,913100
2022-07-07,309.630005,320.799988,309.630005,319.429993,319.429993,864000
2022-07-08,314.230011,318.799988,312.540009,317.540009,317.540009,578100
2022-07-11,314.739990,318.429993,311.390015,315.190002,315.190002,496000
2022-07-12,317.239990,319.660004,305.089996,306.410004,306.410004,745600
2022-07-13,299.779999,305.440002,296.660004,303.070007,303.070007,720100
2022-07-14,301.079987,306.940002,294.290009,305.019989,305.019989,558600
2022-07-15,308.760010,314.980011,307.899994,314.299988,314.299988,832500
2022-07-18,316.429993,317.790009,308.929993,310.429993,310.429993,729800
2022-07-19,315.579987,324.299988,315.190002,323.510010,323.510010,955200
2022-07-20,325.000000,332.519989,323.910004,330.700012,330.700012,767500
2022-07-21,331.010010,339.140015,330.429993,338.660004,338.660004,774200
2022-07-22,339.929993,343.170013,335.670013,338.040009,338.040009,813400
2022-07-25,336.940002,338.579987,333.149994,337.670013,337.670013,806700
